,hebrewFromSub,englishFromSub,englishTranslation,ratio
858,-שבי אנירוצהאותךכלכך   אמרתיתסתמיאתהפה!,- Sit down Shut up - I want you so badly-,- Sit down I want you so I said shut up!,82
859,אני לא רוצה לזיין אותך ואני לא רוצה להכאיב לך ,Now I don't want to fuck you and I don't want to hurt you ,I do not want to fuck you and I do not want to hurt you,95
860,רצית לבוא אז אני אשאר איתך קצת ,You wanted to come so I'm gonna stay a little while ,You wanted to come so I'll stay with you for a while,80
861,ואת לא רוצה לדעת משהו עליי אולמהאנינמצאכאן בסדר ,But you don't want to know anything about me or why I'm here All right ,And you do not want to know anything about me,73
862,אז אם תרצי משהו פשוט תבקשי ממני ,So if you just want something you ask me ,So if you want something just ask me,95
863,לרגעחשבתישתגידשאתההומו   ידעתי שאתה לא קאובואי ,For a second I thought you were gonna say you were gay I knew you weren't a cowboy ,For a moment you thought you were going to say you were gay I knew you were not a cowboy,81
864,אני מכירה קאובואים ,I know cowboys ,I know cowboys,100
865,אמא שלי מאוקלהומה ,My mom's from Oklahoma ,My mother is from Oklahoma,79
866,רוצהלשתותעכשיו ,You want a drink now ,Want to drink now,76
867,-כן אבל בחדר שלי ,Yeah But back in my room ,"- Yes, but in my room",81
868,מה ,What ,what,100
869,-אמאדור ,- Amador ,-Amador,100
870,-קוקראן ,Cochran ,-Cocran,92
871,מי זה ,- Who's this ,Who is,75
872,-בן דוד שלי איגנסיו הוא בן זונה קשוח מן ההרים והוא יעזור לנו ,- He's my cousin Ignacio He's a tough one from the mountains He's gonna help us out ,-My cousin Ignacio is a tough son of a bitch from the mountains and he will help us,72
873,בואלאנדברבחוץ בסדר ,Let's not talk outside okay ,Let's talk outside okay,92
874,מהזה ,What's this ,What is,78
875,ידידה שלי מהביררת ,Mauro's a friend of mine ,A friend of mine from the inquiry,74
876,אתהלאתואהבאתזה  אתהיודעאיפההיא ,You're not gonna like it You know where she's at just say it ,You will not like it you know where she is,71
877,איפה ,Where ,where,100
878,-אני עדיין לא יודע ,I don't know yet ,-I do not know yet,91
879,אני יודע איך למצוא אותה ,- I know how to find out ,I know how to find her,82
880,- מה זאת אומרת ,- Thanks What do you know ,- What do you mean,72
881,ראיתי איזה בחור בבר לפני כמה שעות ,I saw a guy in the bar a couple of hours ago ,I saw a guy at a bar a few hours ago,72
882,אני לא מכיר את הפני שלו אבל אני מכיר את המגפיים שלו ,I don't know his face but I know his boots ,I do not know his face but I know his boots,96
883,לא חכה ,- No Wait ,Do not wait,78
884,איפההבחורזהז ,Where is this guy ,Where's the guy moving?,77
885,-אמרתי לך הוא בבר של המלון ,I told you he's in the hotel bar ,- I told you he's at the hotel bar,91
886,אתה לא יכול להיכנס לבר ככה לא עם האקדח ,You can't go in the bar like this You can't go in with a gun ,You can not enter a bar like that not with the gun,71
887,תגיד לי איך הוא נראה ,- Now tell me what he looks like - What ,Tell me what he looks like,85
888,בסדר תגיד לי על המגפיים ,- All right all right - Tell me about the boots ,Okay tell me about the boots,68
889,הוא נועל מגפיים בצבע שחור ולבן עםפסיםכסופים  הוא יהיה במופע הערב אנייכולהלהכניסאותומאחוריהקלעים  ,He wears black and white silver-tip boots He's coming to the show tonight I can get him a backstage pass ,He's wearing black and white boots with silver stripes. He'll be at tonight's show.,70
890,-כן זה יהיה טוב,Yeah that would be good ,-Yes it will be good,71
891,מהקרה ,What happened ,What happened,100
892,הבאנו לך מתנה ,We brought you a present ,We brought you a present,100
893,מיסטר מגפיים ,Senor Boots ,Mr. Boots,74
894,איפההיא ,Where is she ,where is she,100
895,הוא אומר שהוא רוצה לעשות אהבה עם אמא שלך ,He says he wishes to make love with your mother ,He says he wants to make love with your mother,92
896,-בערך משהו כזה אז אתם מכירים את המקום,- It's about 20 miles give or take - You know the place ,- About something like that so you know the place,65
897,-כן אנחנו מכירים את המקום,Yeah we know the place ,"- Yes, we know the place",93
898,"אז אם נצא עכשיו נגיע לשםבערךתוךשעה   לא מוצ""ש היום אחי ",We can get there in an hour No no no It's Saturday night man ,So if we go out now we'll get there in about an hour not Saturday today bro,67
899,אתם לא חייבים לבוא ,I'm going there myself You don't have to come ,You do not have to come,62
900,תוכללסמוךעליי ,Goddamn it Cochran will you trust me ,You can trust me,62
901,אנחנו מכירים אותו מאז שהיינו ילדים ,We've known him since we were kids ,We have known him since we were children,73
902,הואיסלחלנואםניתן לולחיות מהאתה אומר ,If we let him live could he forgive us ,He will forgive us if he can live what you say,64
903,תסתובבותלך  הם מכירים אותי כאן ,Walk away They know me here ,Turn around you they know me here,67
904,איפההיא ,Where is she ,where is she,100
905,איפה היא מי ,Where is she Where ,Where is she who,88
906,איפההיא ,Where is she ,where is she,100
907,איפההיא - מדברת אנגלית ,Where is she huh ,Where is she - speaks English,65
908,אז תגידי לי!,Tell me then ,So tell me!,64
909,איפההיא ,Where is she ,where is she,100
910,אולי בבית במסטלאנו הם עשירים שם ,Maybe a house in Mazatlan where they are rich ,Maybe at home in Mestello they are rich there,71
911,איפה ,Where ,where,100
912,אםהיאלא נמצאתאיפהשאתאומרת   אני אחזור ואהרוג אותך ,If she's not where you say I'm gonna come back and kill you ,If she's not where you say I'm going to kill you again,81
913,היא לא יודעת ,She doesn't know ,she does not know,79
914,זה רע ,It's bad ,it's bad,100
915,היא ממש חולה או שאף אחד לא יודע איפה היא או שאף אחד לא מדבר ,She's very sick Nobody knows where she is or no one's talking ,She's really sick or nobody knows where she is or nobody's talking,85
916,הגיע הזמן לדבר עם טיבי ,It's time to talk to Tibey ,It's time to talk to Tibi,94
917,זה יהיה מאוד מסוכן ,It's gonna be very dangerous ,It would be very dangerous,74
918,אנילאיכוללחכותיותר   תראה אנילא יודעאיך להגידאתזה   תודה ,I know what the fucker said That's an odd request So how far is this ,I can't wait to see more I do not know how to say thank you,60
919,אניחייבלך!,I love you ,I owe you!,84
920,אתה בן זונה מטורף קוקראן אבל אנחנו איתך ,You're a crazy son of a bitch Cochran but we're with you ,You're a crazy fucker son of a cockroach but we're with you,83
921,בסדר ,Okay ,OK,67
922,הוא אומר שאין לו כרגע כלום בשביל לתת לך משהו בתמורה ,He says he doesn't have anything with him to give in return ,He says he currently has nothing to give you in return,65
923,"אבלהואראהאתהטריילר  וביום שהוא יחזור לארה""ב הוא ישים בתוכו את הסוס הכי טוב שלו ",But he's seen the trailer On the day you go back to the States he's gonna put his best horse in it ,But show the trailer and on the day he returns to the US he will put his best horse in it,78
924,והוא אומר גם שאם האישה שאתה מחפש בחיים אתם והסוס תחזרו בביטחה הבייתה ,He says that if the woman you seek is alive in Mexico she's gonna go back with you and the horse ,And he also says that if the woman you are looking for in life you and the horse will return home safely,68
925,הייקוקראן זה אמורלהחמיאלך  בחיים שלי לא שמעתי אותו מדבר כל הרבה בפעםאחת  ,You ought to be flattered man Never heard him talk so much at one time my whole life ,Heikokran is supposed to be in my life I have never heard him speak all that much at once,60
926,טיבי רוכב על הסוס במקום הזה כל בוקר ,Tibey rides this trail every morning at dawn ,Tibi rides the horse in this place every morning,63
927,הוא יחשוב שאתה רוח רפאים ,You know he's gonna think you're a ghost ,He will think you're a ghost,71
928,תדאג שהידיים שלך יהיו ריקות ובמקום שהוא יוכל לראות אותם ,Be sure to keep your hands empty and out where he can see them ,Make sure your hands are empty and where he can see them,88
929,תסמוךעלינו בסדר ,Trust us okay ,Trust us okay,100
930,אני סומך עליך אבל לאמשנהמה קורה  אתה לא הורג אותו אני אעשה את זה ,I trust you but no matter what happens you don't kill him I do ,I trust you but last night it happens you do not kill him I will do it,82
931,הבנתי ,Got it ,got it,100
932,איפההיא ,Where is she ,where is she,100
933,עכשיו תגיד לי כמו גבר וחברלשעבר  תבקשאתהסליחהשלי   עלזהשלקחתממני  אתהאישהשלי  ,I ask you now as a man and a former friend to ask my forgiveness for taking my wife away from me ,"Now tell me like a man and an ex-boyfriend, you'll apologize to me for taking my wife from me.",68
934,אנימבקשאת סליחתך  על זה שלקחתי ממך את האישה שלך ,I ask your forgiveness for taking your wife away from you ,I beg your pardon for taking your wife from you,71
935,אתה לא יכול לעבור כאן ,Can't you hear that ,You can not move here,70
936,אני רוצה לראות אותה ,- I wanna see her ,I want to see her,81
937,היא מאוד חולה ,- She is very sick ,She is very ill,71
938,היא רוצה לצאת החוצה ,She wants to go outside ,She wants to get out,84
939,ללא רעש האזעקה המטריד ללא צורך להטריד את המשטרה וזה אפילו לא יזיז למצבר שלך ,No embarrassing alarm noise no need to trouble the police and it won't even run down your battery ,No annoying alarm noise without having to bother the police and it will not even move your battery,66
940,-תומכי הסביבה קוראים לזה אסון ,- Environmentalists call it a disaster ,- Environmentalists call it a disaster,100
941,-הם תמיד קוראים לזה כך ,- But don't they always ,- They always call it that,67
942,"בחדשות לאומיות  עו""ד מרקוס אישר  את אד 209  יחידה קרבית ל5 ערים באמריקה  למרות תלונות רבות על תפקוד לקוי  המעקב אחר הגנרל נגמר ",In national news the Attorney General today approved the ED-209 combat unit for deployment in five American cities despite widespread complaints of malfunction ,In National News Advocate Marcus Approved Ed 209 Combat Unit for 5 Cities in America Despite Many Complaints of Dysfunction General Surveillance Ends,69
943,"הוא נורה לפני 20 דקות ע""י מכורים  לסם הקטלני ניוק ",The Surgeon General was gunned down 20 minutes ago by a militant addict of the deadly designer drug Nuke ,He was shot 20 minutes ago by addicts of the deadly drug Gnocchi,67
944,האיום הכי גדול על האומה שלנו  ניוק  הסם הכי ממכר בהסטוריה  ,The greatest health threat facing our nation Nuke The most addictive narcotic in history ,The biggest threat to our nation is the most addictive drug gnocchi in history,72
945,-הם יקבלו אותו -מעשי הטרוריזם האחרונים של קיין  שביניהם פיצוץ מוסד לטיפול במכורים גרם למותם של 5 אנשים ,The assassination is the latest act of terrorism by Cain following the firebombing of a drug treatment clinic that left five dead ,- They will get it - Kane's latest acts of terrorism including the explosion of an addiction treatment facility killed 5 people,60
946,החברה קיבלה בחוזה את ניהול המשטרה  או-סי-פי חתכה לנו 40% מהמשכורת והסירה את הפנסיות ,OCP cut our salaries 40 percent and cancelled our pensions and now they refuse to even talk to us ,The company contracted the management of the police OCPP cut us 40% of the salary and removed the pensions,67
947,קום!,Shut up!,get up!,62
948,שתוק ,Shut up!,Shut,73
949,את שוברת לי את היד!,You're breakin' my fuckin' arm!,You're breaking my arm!,84
950,תראי את זה  ,That'll do it ,Look at that,64
951,-איפה הנשקים החמים ,Where is she ,-Where are the firearms,65
952,אני לא מאמין!,- I don't believe this! - What ,I do not believe!,68
953,-השוטרים בשביתה  אדיוט!,- Cops are on strike stupid ,"- The cops are on strike, you idiot!",74
954,אתה לא שומע ,I don't know you ,You do not hear,71
955,-זה זה ,- Who is this ,-It is this,67
956,תפסנו אותו ,We got him!,We caught him,78
957,אוי שיט  שוטרים מזויינים ,Nice shit man Fucking cops!,Oh shit fucking cops,78
958,שוטר מחוז ,Peace officer ,District Police Officer,61
959,ניוק ,Nuke ,Nyuk,75
960,זה לא שלי בנאדם ,It's not mine man ,This is not my man,74
961,זה לא שלי  אני אומר לך  ,It's not mine man I told you I'm clean ,It's not mine I'm telling you,72
962,לא יודע!,I don't know ,Do not know!,78
963,כל מה שאני יודע זה מאיפה השגתי את זה ,All I know is where I get it ,All I know is where I got it from,89
964,לא לזוז ,I don't know ,Do not move,61
965,לא לזוז ,I don't know ,Do not move,61
966,גברות  להישאר למטה ,Ladies stay down ,Ladies stay down,100
967,לא יכול לירות בילד  אדיוט ,(distorted) Can't shoot a kid can you ,Can't shoot an idiot kid,78
968,שתקי!,Shut up!,Shut up!,100
969,התינוק בידיים שלי ,You're breakin' my fuckin' arm!,The baby is in my arms,60
970,אני אהרוג אותו!,- I'll fix him ,I'll kill him!,64
971,אתה מבין  כן ,You understand that ,You understand yes,76
972,אז האם אתה מחשיב את עצמך לאנושי ,Yes And so do you consider yourself human ,So do you consider yourself human,89
973,אני דורש תשובה ,I require an answer ,I demand an answer,65
974,יש לך מושג מה אתה עושה לאישה המסכנה ,Do you have any idea what you're doing to that poor woman ,You have no idea what you're doing to the poor woman,88
975,תסתכל על הקובץ שלה ,Take a look at her file Go on ,Take a look at her file,88
976,שמי טום דילייני  אני מייצג אותה ,My name is Tom Delaney I'm representing her ,My name is Tom Delaney and I represent her,89
977,לפני כמה חודשים היא לא הייתה מוכנה לעזוב את המיטה ,Up to a few months ago she wouldn't leave her bedroom ,A few months ago she was not ready to leave the bed,71
978,ואז עם התרפיסט  היפונזה וטיפול הורמונלי  אתה עושה את החרא הזה!,Then there were the therapists and the hypnotists  And then you pull this shit ,Then with the hypnosis therapist and hormonal therapy you do that shit!,72
979,עובר ליד הבית שלה יום יום ,Drivin' past her house day after day ,Passes by her house every day,66
980,גורם לה לחשוב שבעלה עדיין בחיים ,Tryin' to make her think her husband is still alive ,Makes her think her husband is still alive,89
981,היא בקושי התחילה לקבל את העובדה שהלכת ,She's barely started to accept the loss ,She barely began to accept the fact that you were gone,65
982,-אתה קורע אותה לחתיכות ,Did you see that ,- You tear it to pieces,65
983,אתה חושב שתוכל להיות בעלה ,Do you think you could ever be a husband to her ,You think you can be her husband,76
984,מה תוכל להציע ,I mean what can you offer her ,What can you offer,77
985,אהבה ,Love ,Love,100
986,אהבה של גבר ,A man's love ,A man's love,100
987,תמשיכו לצלם ,Nice shootin' ,Keep shooting,72
988,האם אתה אלכס מרפי ,Are you Alex Murphy ,Are you Alex Murphy,100
989,אתה אנושי ,Are you human ,You are human,100
990,אתה פשוט מכונה ,You are simply a machine ,You're just a machine,67
991,אני מכונה ,- It's cold ,I'm called,63
992,ואתה תישאר שם ,You stay there ,And you will stay there,76
